project_index,project_title,project_author,entity_type,clickable_entity
1,"Encontrarse en la forma","Ignacia Santillán",persona,"Ignacia Santillán"
2,"L'uccello","Weichi He",persona,"Weichi He"
2,"L'uccello","Weichi He",persona,"Pablo González"
3,"Max Fett Specimen","Weichi He",persona,"Weichi He"
3,"Max Fett Specimen","Weichi He",persona,"Max Fett"
4,"Me gusta mucho aquí","Ignacia Santillán",persona,"Ignacia Santillán"
4,"Me gusta mucho aquí","Ignacia Santillán",persona,"Malhumor Studio"
4,"Me gusta mucho aquí","Ignacia Santillán",estudio,"Malhumor Studio"
5,"Otras formas de medir el tiempo","Ignacia Santillán",persona,"Ignacia Santillán"
5,"Otras formas de medir el tiempo","Ignacia Santillán",persona,"Malhumor Studio"
5,"Otras formas de medir el tiempo","Ignacia Santillán",estudio,"Malhumor Studio"
6,"Rayo de luz","Gracia González",persona,"Gracia González"
7,"Fundación FIT","Gracia González",persona,"Gracia González"
8,"Retorno","Catalina Uribe, Andres Miquel, Fernanda Gutiérrez",persona,"Catalina Uribe"
8,"Retorno","Catalina Uribe, Andres Miquel, Fernanda Gutiérrez",persona,"Andres Miquel"
8,"Retorno","Catalina Uribe, Andres Miquel, Fernanda Gutiérrez",persona,"Fernanda Gutiérrez"
9,"Retorno","Andres Miquel, Catalina Uribe, Fernanda Gutiérrez",persona,"Andres Miquel"
9,"Retorno","Andres Miquel, Catalina Uribe, Fernanda Gutiérrez",persona,"Catalina Uribe"
9,"Retorno","Andres Miquel, Catalina Uribe, Fernanda Gutiérrez",persona,"Fernanda Gutiérrez"
10,"Retorno","Fernanda Gutiérrez, Andres Miquel, Catalina Uribe",persona,"Fernanda Gutiérrez"
10,"Retorno","Fernanda Gutiérrez, Andres Miquel, Catalina Uribe",persona,"Andres Miquel"
10,"Retorno","Fernanda Gutiérrez, Andres Miquel, Catalina Uribe",persona,"Catalina Uribe"
11,"A Life in a Year","Paula Santa María",persona,"Paula Santa María"
12,"Bombus Chilensis","María Jesús Pinto, Victoria De la Maza",persona,"María Jesús Pinto"
12,"Bombus Chilensis","María Jesús Pinto, Victoria De la Maza",persona,"Victoria De la Maza"
13,"Misc","Matías Vial",persona,"Matías Vial"
13,"Misc","Matías Vial",persona,"Il Mato"
14,"Acuerdo de Escazú","Carolina Pinochet",persona,"Carolina Pinochet"
14,"Acuerdo de Escazú","Carolina Pinochet",persona,"Estudio Postal"
14,"Acuerdo de Escazú","Carolina Pinochet",estudio,"Estudio Postal"
15,"Agenda Palpa","Macarena Valdés Domínguez",persona,"Macarena Valdés Domínguez"
15,"Agenda Palpa","Macarena Valdés Domínguez",persona,"Qüina Studio"
15,"Agenda Palpa","Macarena Valdés Domínguez",estudio,"Qüina Studio"
16,"La Roi","Macarena Valdés Domínguez",persona,"Macarena Valdés Domínguez"
16,"La Roi","Macarena Valdés Domínguez",persona,"Qüina Studio"
16,"La Roi","Macarena Valdés Domínguez",estudio,"Qüina Studio"
17,"EMG-One","Franco Gnecco",persona,"Franco Gnecco"
17,"EMG-One","Franco Gnecco",persona,"Lorena O’Ryan"
17,"EMG-One","Franco Gnecco",persona,"Alejandro Durán"
18,"Materia Lignum","Catalina Fuenzalida",persona,"Catalina Fuenzalida"
18,"Materia Lignum","Catalina Fuenzalida",persona,"Spectro Studio"
18,"Materia Lignum","Catalina Fuenzalida",persona,"Franco Gnecco"
18,"Materia Lignum","Catalina Fuenzalida",persona,"Damian Araos"
18,"Materia Lignum","Catalina Fuenzalida",estudio,"Spectro Studio"
19,"Materia Lignum","Franco Gnecco",persona,"Franco Gnecco"
19,"Materia Lignum","Franco Gnecco",persona,"Spectro Studio"
19,"Materia Lignum","Franco Gnecco",persona,"Damian Araos"
19,"Materia Lignum","Franco Gnecco",persona,"Catalina Fuenzalida"
19,"Materia Lignum","Franco Gnecco",estudio,"Spectro Studio"
20,"Materia Lignum","Damian Araos",persona,"Damian Araos"
20,"Materia Lignum","Damian Araos",persona,"Spectro Studio"
20,"Materia Lignum","Damian Araos",persona,"Franco Gnecco"
20,"Materia Lignum","Damian Araos",persona,"Catalina Fuenzalida"
20,"Materia Lignum","Damian Araos",estudio,"Spectro Studio"
21,"Cómo diseñar una revolución. La vía chilena al diseño","Yazmin Jiménez",persona,"Yazmin Jiménez"
21,"Cómo diseñar una revolución. La vía chilena al diseño","Yazmin Jiménez",persona,"Eden Medina"
21,"Cómo diseñar una revolución. La vía chilena al diseño","Yazmin Jiménez",persona,"Pedro Ignacio Alonso"
21,"Cómo diseñar una revolución. La vía chilena al diseño","Yazmin Jiménez",persona,"Hugo Palmarola Diseño"
21,"Cómo diseñar una revolución. La vía chilena al diseño","Yazmin Jiménez",persona,"Yazmín González Editores"
21,"Cómo diseñar una revolución. La vía chilena al diseño","Yazmin Jiménez",persona,"Lars Müller Publishers"
22,"Cómo diseñar una revolución. La vía chilena al diseño","Pedro Álvarez",persona,"Pedro Álvarez"
22,"Cómo diseñar una revolución. La vía chilena al diseño","Pedro Álvarez",persona,"Eden Medina"
22,"Cómo diseñar una revolución. La vía chilena al diseño","Pedro Álvarez",persona,"Pedro Ignacio Alonso"
22,"Cómo diseñar una revolución. La vía chilena al diseño","Pedro Álvarez",persona,"Hugo Palmarola Diseño"
22,"Cómo diseñar una revolución. La vía chilena al diseño","Pedro Álvarez",persona,"Yazmín González Editores"
22,"Cómo diseñar una revolución. La vía chilena al diseño","Pedro Álvarez",persona,"Lars Müller Publishers"
23,"Escuela Global","Dominga Olavarría Schuh",persona,"Dominga Olavarría Schuh"
24,"Puente Textil","Josefina Boggio",persona,"Josefina Boggio"
25,"ARQUEOLOGÍA PERSONAL","Josefina Boggio",persona,"Josefina Boggio"
26,"Memoria Luz que Enseña","Alejandra Garcia Huidobro",persona,"Alejandra Garcia Huidobro"
27,"Luz que enseña","Alejandra Garcia Huidobro",persona,"Alejandra Garcia Huidobro"
28,"Protagonistas en Palabras","Lucas Góngora Rocha",persona,"Lucas Góngora Rocha"
28,"Protagonistas en Palabras","Lucas Góngora Rocha",persona,"Andrés Navarro"
28,"Protagonistas en Palabras","Lucas Góngora Rocha",persona,"Denisse Hernández"
28,"Protagonistas en Palabras","Lucas Góngora Rocha",persona,"Javiera Sánchez"
28,"Protagonistas en Palabras","Lucas Góngora Rocha",persona,"Magdalena Manríquez"
28,"Protagonistas en Palabras","Lucas Góngora Rocha",persona,"Martín Cáceres"
28,"Protagonistas en Palabras","Lucas Góngora Rocha",persona,"Michelle Serni"
28,"Protagonistas en Palabras","Lucas Góngora Rocha",persona,"Ximena Silva"
