Categoría principal,Subcategoría,Palabras clave usuario,Sinónimos,Tags para proyecto
Afiche,afiche,,afiche | afiche digital | afiche impreso | cartel | poster,afiche
Animación,animacion,,animacion | animacion 2d | animacion 3d | audiovisual | diseno en movimiento | motion | motion graphics | stop motion | stop-motion,animacion
Arte,arte,arte,,arte
Artesanía,artesania,,artes y oficios | artesania | craft | oficios,artesania
Biomateriales,biomateriales,,biofabricacion | biomaterial | biomateriales | materiales sustentables,biomateriales
Branding,branding,branding,brand | brand strategy | identidad grafica | identidad visual | imagen corporativa | logo | logos | marca | rebranding,branding
Cover Art,cover art,cover art,arte de portada | arte de tapa | disco | ep | portada de disco | portada de discos | portada musical,cover art
Curaduría,curaduria,curaduria | curaduría,,curaduria
Dirección de Arte,direccion de arte,,,direccion de arte
Diseno industrial,diseno industrial,diseño industrial,,diseno industrial
Diseño Servicio,diseno servicio,,deporte | deportes | diseno de servicio | diseno de servicios | diseno servicio | service design | servicio | servicios,diseno servicio
Ecología,ecologia,,upcycling,ecologia
Editorial,editorial,editorial,book design | diagramacion | fanzine | layout | libro de artista | maquetacion | objeto editorial | publicacion digital | zine,editorial
Educación,educacion,educacion | educación,,educacion
Espacio,espacio,,arquitectura interior | diseno interior | espacio | espacios | estudio | interiorismo,espacio
Estilismo,estilismo,,styling | stylist,estilismo
Exhibición,exhibicion,,exhibicion | exphibicion | expo arte | exposicion | exposicion de arte | identidad exposicion,exhibicion
Experimental,experimental,experimental,,experimental
Fotografía,fotografia,,fotografia | fotografia de moda | fotografia de producto | fotografia editorial | photo,fotografia
Gráfico,grafico,,comunicacion visual | diseno grafico | grafico | graphic design,grafico
Iluminación,iluminacion,,,iluminacion
Ilustración,ilustracion,,dibujo | drawing | ilustracion | ilustracion editorial | ilustracion infantil,ilustracion
Impreso,impreso,,grafica impresa | impresion | print | riso | risografia | serigrafia,impreso
Industrial,industrial,industrial,,industrial
Infantil,infantil,infantil,,infantil
Infografía,infografia,,data viz | infografia | infographic | visualizacion de datos,infografia
Investigación,investigacion,,archivo | critical design | design research | diseno critico | diseno especulativo | investigacion | research | soundscape | speculative design,investigacion
Merchandising,merchandising,,,merchandising
Mobiliario,mobiliario,mobiliario,diseno de mobiliario | diseno de muebles | furniture,mobiliario
Moda,moda,moda,diseno de moda | fashion,moda
Muralismo,muralismo,muralismo,arte urbano | grafiti | mural | street art,muralismo
Museo,museo,museo,,museo
Museografía,museografia,,diseno de exposiciones | heritage | heritage design | iluminacion museografica | instalacion | montaje | museografia,museografia
Música,musica,,musica,musica
Packaging,packaging,packaging,diseno de envase | embalaje | empaque | envase,packaging
Portafolio,portafolio,portafolio,,portafolio
Producto,producto,producto,diseno de producto | product | product design | prototipo,producto
Pub. academica,pub. academica,pub. académica,,pub. academica
Pub. Académica,pub academica,pub academica,articulo academica | articulo academico | paper | publicacion academica | revista academica | tesis,pub academica
RRSS,rrss,rrss,contenido digital | instagram | redes sociales | social media | tiktok,rrss
Salud,salud,salud,diseno medico | diseno sanitario | health design | salud publica,salud
Señalética,senaletica,,diseno de senales | senaletica | senalizacion | wayfinding,senaletica
Social,social,social,accesibilidad | diseno social,social
Teatro,teatro,teatro,artes escenicas | escenografia,teatro
Textil,textil,textil,bordado | costume design | diseno textil | indumentaria | patronaje | textile design | vestuario,textil
Tipografía,tipografia,,caligrafia | fuente | lettering | tipografia | type design,tipografia
UX UI,ux ui,ux ui,diseno de interfaz | experiencia de usuario | interaction design | interfaz | ui | ui/ux | ux | ux/ui,ux ui
Videojuego,videojuego,videojuego,game design | gaming | juego digital | video game,videojuego
Visuales,visuales,visuales,arte digital | arte generativo | artes visuales | vj | vjing | vjing (visuales),visuales
Web,web,web,desarrollo web | digital | diseno web | ecommerce | front-end | landing page | one pager | portafolio web | responsive | responsivo | sitio web | web design,web
